#Classification	S-5-POLCOM-G_bracken_C.kreport
k__Bacteria	329
k__Bacteria|p__Proteobacteria	317
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	112
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	195
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	9
k__Bacteria|p__Acidobacteria	8
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	8
k__Bacteria|p__Actinobacteria	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2
k__Bacteria|p__Bacteroidetes	1
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1
