#Classification	GQ22_bracken_F.kreport
k__Bacteria	818453
k__Bacteria|p__Firmicutes	702790
k__Bacteria|p__Firmicutes|c__Bacilli	651287
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	651287
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	598255
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	16552
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	36479
k__Bacteria|p__Firmicutes|c__Clostridia	44016
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	44016
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII._Incertae_Sedis	9829
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	32006
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2180
k__Bacteria|p__Firmicutes|c__Negativicutes	4595
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	4393
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	4393
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	202
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	202
k__Bacteria|p__Firmicutes|c__Tissierellia	2890
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2890
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	2890
k__Bacteria|p__Actinobacteria	60317
k__Bacteria|p__Actinobacteria|c__Actinomycetia	59923
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	47735
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	47735
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	11808
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	11808
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	258
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	258
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	120
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	120
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	394
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	394
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	394
k__Bacteria|p__Tenericutes	1
k__Bacteria|p__Tenericutes|c__Mollicutes	1
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	1
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae	1
k__Bacteria|p__Proteobacteria	35652
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	17762
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	9132
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	9059
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	73
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	8629
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	8629
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	16234
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	16055
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	16055
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	130
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	130
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	46
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	46
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	1
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1655
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	1655
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	1655
k__Bacteria|p__Bacteroidetes	11850
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	11576
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	11576
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	11436
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	95
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	44
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	274
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	274
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	274
k__Bacteria|p__Fusobacteria	6420
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	6420
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	6420
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	5588
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	832
k__Bacteria|p__Candidatus_Saccharibacteria	1350
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	1350
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	1350
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales|f__Candidatus_Nanosynbacteraceae	1350
k__Bacteria|p__Spirochaetes	68
k__Bacteria|p__Spirochaetes|c__Spirochaetia	68
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	68
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Treponemataceae	68
k__Bacteria|p__Synergistetes	1
k__Bacteria|p__Synergistetes|c__Synergistia	1
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	1
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	1
k__Eukaryota	3380
k__Eukaryota|k__Metazoa	3302
k__Eukaryota|k__Metazoa|p__Chordata	3302
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	3302
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	3302
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	3302
k__Eukaryota|k__Fungi	78
k__Eukaryota|k__Fungi|p__Basidiomycota	78
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	78
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	78
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae	78
