feature	Acinetobacter	Alcaligenes	Azospirillum	Corynebacterium	Cutibacterium	Escherichia	Lactobacillus	Meiothermus	Micrococcus	Moraxella	Neisseria	Paraburkholderia	Prevotella	Pseudomonas	Staphylococcus	Streptococcus
SRR20002340	0.215722294216116	0	0	0	0.774267138658755	0	0	0	0	0	0	0.165351846622118	0	0.723458305413449	0	0
SRR20002343	0.198816231194095	0	0	0	0.62897012337028	0	0	0.215875301820498	0.0318668723929487	0.038699592094173	0	0.0620976956116377	0	0.470211260588807	0.640745013881807	0
SRR20002345	0.105972916927068	0.315774570231329	0.0564368375320765	0	1.07700297198848	0	0	0.0794605646607628	0.0483297163164825	0.0729184304195437	0	0.0382339782388216	0	0.318916210343537	0.0111679385958558	0
SRR20002351	0.191020728198437	0.0811135894284026	0	0.0972191631928341	0.983554315303667	0	0.0238076204649931	0	0	0	0.0855963275246074	0.123917311875386	0	0.322232868413625	0.0765895394857344	0.362363338501105
SRR20002352	0.024100223875385	0	0	0	0.12348949456538	0	0	0	0	0	0	0.00633819639857193	0	0.0878657489860594	1.40526612848335	0.0605115706734142
SRR20002353	0.343135445253049	0.0149117727188042	0	0	0.720956670735523	0	0	0	0	0	0	0.208736292665299	0	0.692775713059773	0	0
SRR20002355	0.112743367685824	0	0	0	0.970433620494726	0	0	0	0	0	0	0.114906083920312	0	0.572367780059569	0	0
SRR20002356	0	0	0	0	0.278380488652344	0.0832935067847161	0	0	0	0	0	0	0	1.23424645632387	0	0.163880696710321
SRR20002360	0.118445866250382	0	0	0	0.851727467733787	0	0	0	0	0	0	0.106079490048934	0	0.693573288327148	0	0
SRR20002363	0.0094604706633956	0	0	0	0.0594823593543381	0	0	0	0	0	0	0.016847297230992	0	0.0940151097384532	1.41051182635933	0.113165028694496
SRR20002365	0.140020477676932	0	0	0	1.16155964409834	0	0	0	0	0	0	0	0	0.381842452637156	0	0
SRR20002368	0.0320653287771032	0.00988943569047835	0	0	0.109154754323601	0	0	0	0	0	0	0.00828560890512676	0	0.0873139159461945	1.42653921241789	0
SRR20002369	0	0	0	0	0	1.09722827664907	0.246212152765257	0	0	0	0	0	0.0745084721931603	0	0.387869742533783	0
SRR20002371	0	0	0	0	0.644874892086707	0	0	0	0	0	0	0	0	0.162980336287689	0.60612896166188	0.566254539556394
SRR20002373	0.24625031632252	0.155512009018763	0	0	0.716714590810849	0	0	0.137475313365913	0	0	0	0.124775149638785	0	0.736104173251579	0	0
SRR20002375	0.230972644614234	0	0	0	0.812421582491432	0	0	0.0856535102742126	0	0	0	0.0715658399913755	0	0.693025399646306	0	0
SRR20002377	0	0	0	0	0.31077159912457	0	0	0	0	0	0	0	0	0.0896727125068526	1.2465056194174	0
SRR20002378	0	0	0	0	0.54592644521303	0	0	0	0	0	0	0.217782696951942	0	0.973543597281073	0	0
SRR20002379	0.358335271983382	0	0	0	0.450100687004175	0	0	0	0	0.0189462717138257	0	0.226550004530808	0	0.924082429689294	0	0
SRR20002380	0	0	0	0	0.019854824540978	0	0	0	0	0	0	0	0	0.0257480675816794	1.53827938719974	0
SRR20002382	0.199797906729649	0	0	0	0.897837773712911	0	0	0.261762766589785	0	0	0	0.0313394743605958	0	0.55889424037057	0	0
