intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
4183000,0.007930308832729823,0.7591651542649728,0.007930308832729823,0.02250852717254354,24.151326798948123,10.0,149.23551398706527,signatures/f906f0ea3324bc6db880a742f3f0b0ba.sig.gz,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",f906f0ea3324bc6db880a742f3f0b0ba,0.7591651542649728,4183000,0,523287000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064712/SRR19064712_unmatched_2.fastq,SRR19064712,9a7ad3550687e74f97db932e8d8f7245,527470000,31,DNA,1000,527470,true,0.8555298452151745,0.991151127945925,0.9233404865805497,0.991151127945925,101025,101025,4488299
3961000,0.007509431816027452,0.7591986129840108,0.007471514967675887,0.011419693741437458,13.00558233950774,7.0,48.90646318100541,signatures/364f6db3e1881c45e824633d261d9452.sig.gz,"GCF_000381365.1 Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 strain=DSM 18765, Bact_saly_DSM_18765_V1",364f6db3e1881c45e824633d261d9452,0.7630514351762666,3941000,1,519346000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064712/SRR19064712_unmatched_2.fastq,SRR19064712,9a7ad3550687e74f97db932e8d8f7245,527470000,31,DNA,1000,527470,true,0.8540262035447496,0.9913143965317648,0.9226703000382572,0.9913143965317648,51255,152280,4488299
3764000,0.007135950859764537,0.589047619047619,0.007035471211632889,0.018187513799771363,21.99703583939639,16.0,52.361940650856965,signatures/df098e390010d8add7b59e4ff0574d30.sig.gz,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",df098e390010d8add7b59e4ff0574d30,0.5974603174603175,3711000,2,515635000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064712/SRR19064712_unmatched_2.fastq,SRR19064712,9a7ad3550687e74f97db932e8d8f7245,527470000,31,DNA,1000,527470,true,0.8526219545734166,0.983522191312039,0.9180720729427279,0.983522191312039,81631,233911,4488299
3695000,0.007005137732951637,0.7980556783031374,0.006847782812292642,0.019881919631468403,24.705426356589147,23.0,15.272230439702668,signatures/47030cb09435e5a03e1ce6a49f0753a5.sig.gz,"GCF_002222615.2 Bacteroides caccae strain=ATCC 43185, ASM222261v2",47030cb09435e5a03e1ce6a49f0753a5,0.8163941670349094,3612000,3,512023000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064712/SRR19064712_unmatched_2.fastq,SRR19064712,9a7ad3550687e74f97db932e8d8f7245,527470000,31,DNA,1000,527470,true,0.8521132377594478,0.9934775578540178,0.9227953978067328,0.9934775578540178,89236,323147,4488299
3684000,0.006984283466358277,0.5406654343807763,0.006654406885699661,0.007010005349465354,8.963817663817665,6.0,16.384503873838394,signatures/514bdd6aa640f40cc6414be0e11ec2f6.sig.gz,"GCF_001314995.1 Bacteroides ovatus strain=ATCC 8483, ASM131499v1",514bdd6aa640f40cc6414be0e11ec2f6,0.5674676524953789,3510000,4,508513000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064712/SRR19064712_unmatched_2.fastq,SRR19064712,9a7ad3550687e74f97db932e8d8f7245,527470000,31,DNA,1000,527470,true,0.8520312894070173,0.981889501383502,0.9169603953952596,0.981889501383502,31463,354610,4488299
3324000,0.006301780196030106,0.7419066755972316,0.006299884353612528,0.02991511929129499,40.40565753836894,34.0,54.4464364017123,signatures/20e22b7a195404638366fe78b372a400.sig.gz,GCF_025148125.1 Blautia wexlerae DSM 19850 strain=DSM 19850 ASM2514812v1,20e22b7a195404638366fe78b372a400,0.7421299397186872,3323000,5,505190000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064712/SRR19064712_unmatched_2.fastq,SRR19064712,9a7ad3550687e74f97db932e8d8f7245,527470000,31,DNA,1000,527470,true,0.8492096948798148,0.9904257749642147,0.9198177349220147,0.9904257749642147,134268,488878,4488299
3214000,0.006093237530096498,0.49858845671267255,0.00602688304548126,0.00283760061439757,4.0062912865681035,2.0,10.400744555798076,signatures/93f73424a62c9a7810069426678c2739.sig.gz,"GCF_002234575.2 Enterocloster bolteae strain=ATCC BAA-613, ASM223457v2",93f73424a62c9a7810069426678c2739,0.5040777917189461,3179000,6,502011000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064712/SRR19064712_unmatched_2.fastq,SRR19064712,9a7ad3550687e74f97db932e8d8f7245,527470000,31,DNA,1000,527470,true,0.8482883201617633,0.9781447926760436,0.9132165564189034,0.9781447926760436,12736,501614,4488299
3086000,0.005850569700646483,0.7171268132896584,0.005810757009877339,0.003058842559285823,4.4792822185970635,3.0,8.089364947860082,signatures/b37a0141517537faad74a6d2ac4d5c41.sig.gz,"GCF_000190535.1 Odoribacter splanchnicus DSM 20712 strain=DSM 220712, ASM19053v1",b37a0141517537faad74a6d2ac4d5c41,0.7220402433317735,3065000,7,498946000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064712/SRR19064712_unmatched_2.fastq,SRR19064712,9a7ad3550687e74f97db932e8d8f7245,527470000,31,DNA,1000,527470,true,0.8471769561396901,0.989549365444677,0.9183631607921836,0.989549365444677,13729,515343,4488299
3051000,0.005784215216031244,0.7194209891435465,0.005653402089218345,0.008213133750670355,12.361837692823608,9.0,26.23714643071489,signatures/928b2d7b80c57c283b973481c1cf1d26.sig.gz,"GCF_020554845.1 Blautia faecis strain=DFI.3.66, ASM2055484v1",928b2d7b80c57c283b973481c1cf1d26,0.7360675512665863,2982000,8,495964000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064712/SRR19064712_unmatched_2.fastq,SRR19064712,9a7ad3550687e74f97db932e8d8f7245,527470000,31,DNA,1000,527470,true,0.8468652975009249,0.9901637476799261,0.9185145225904254,0.9901637476799261,36863,552206,4488299
3036000,0.00575577757976757,0.6475121092029943,0.005575672550097636,0.05852774068750767,89.31995919755185,89.0,65.48321140042579,signatures/2fc80b3803e2d9af5d93edb14dd1cc3b.sig.gz,GCF_025147485.1 Bacteroides uniformis strain=ATCC 8492 ASM2514748v1,2fc80b3803e2d9af5d93edb14dd1cc3b,0.6684280052840158,2941000,9,493023000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/PD/preproc/SRR19064712/SRR19064712_unmatched_2.fastq,SRR19064712,9a7ad3550687e74f97db932e8d8f7245,527470000,31,DNA,1000,527470,true,0.8467306690178686,0.9870896568432908,0.9169101629305797,0.9870896568432908,262690,814896,4488299
