#Classification	S-9-POLCOM-B_bracken_O.kreport
k__Bacteria	2429
k__Bacteria|p__Proteobacteria	2304
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1259
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1259
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	816
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	711
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	105
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	228
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	214
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	6
k__Bacteria|p__Cyanobacteria	47
k__Bacteria|p__Cyanobacteria|o__Nostocales	47
k__Bacteria|p__Actinobacteria	35
k__Bacteria|p__Actinobacteria|c__Actinomycetia	35
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	32
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	1
k__Bacteria|p__Acidobacteria	41
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	41
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	41
k__Eukaryota	11
k__Eukaryota|k__Metazoa	11
k__Eukaryota|k__Metazoa|p__Chordata	11
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	11
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	11
