#Classification	S-1-POLCOM-G_bracken_O.kreport
k__Eukaryota	134
k__Eukaryota|k__Metazoa	134
k__Eukaryota|k__Metazoa|p__Chordata	134
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	134
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	134
k__Bacteria	36
k__Bacteria|p__Proteobacteria	19
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	16
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	3
k__Bacteria|p__Acidobacteria	17
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	17
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	17
