#Classification	SRR20002380_bracken_C.kreport
k__Bacteria	6737531
k__Bacteria|p__Firmicutes	6703056
k__Bacteria|p__Firmicutes|c__Bacilli	6703040
k__Bacteria|p__Firmicutes|c__Clostridia	15
k__Bacteria|p__Actinobacteria	1956
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1944
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	12
k__Bacteria|p__Deinococcus-Thermus	5
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	5
k__Bacteria|p__Proteobacteria	32505
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	31220
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	865
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	413
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	5
k__Bacteria|p__Bacteroidetes	7
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	5
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1
k__Eukaryota	564
k__Eukaryota|k__Metazoa	467
k__Eukaryota|k__Metazoa|p__Chordata	467
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	467
k__Eukaryota|k__Fungi	85
k__Eukaryota|k__Fungi|p__Basidiomycota	63
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	63
k__Eukaryota|k__Fungi|p__Ascomycota	21
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	11
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	9
k__Eukaryota|k__Viridiplantae	12
k__Eukaryota|k__Viridiplantae|p__Streptophyta	12
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	12
k__Archaea	75
k__Archaea|p__Euryarchaeota	75
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	75
k__Viruses	2
k__Viruses|k__Heunggongvirae	2
k__Viruses|k__Heunggongvirae|p__Uroviricota	2
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	2
