#Classification	S-8-POLCOM-B_bracken_F.kreport
k__Bacteria	2456
k__Bacteria|p__Proteobacteria	2182
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1177
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1022
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	1022
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	154
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae	154
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	999
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	999
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	972
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	27
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	1
k__Bacteria|p__Cyanobacteria	189
k__Bacteria|p__Cyanobacteria|o__Nostocales	189
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	189
k__Bacteria|p__Actinobacteria	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	1
k__Bacteria|p__Acidobacteria	69
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	69
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	69
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	69
k__Bacteria|p__Planctomycetes	8
k__Bacteria|p__Planctomycetes|c__Planctomycetia	8
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	8
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales|f__Gemmataceae	8
k__Bacteria|p__Bacteroidetes	5
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	5
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	5
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	5
k__Eukaryota	19
k__Eukaryota|k__Metazoa	19
k__Eukaryota|k__Metazoa|p__Chordata	19
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	19
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	19
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	19
