intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
5982000,0.053386880856760376,0.8587424633936261,0.053386880856760376,0.15601126159439802,20.629555332664662,17.0,15.949189499991872,signatures/259dab6bb1a40b2944bd98aab58ae33d.sig.gz,"GCF_022408595.1 Pseudomonas aeruginosa strain=L00022914, ASM2240859v1",259dab6bb1a40b2944bd98aab58ae33d,0.8587424633936261,5982000,0,106068000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002474/SRR20002474_unmatched_2.fastq,SRR20002474,5696dc482f736f106304c6edcd5ec4f4,112050000,31,DNA,1000,112050,true,0.9098074768021659,0.9950995879470096,0.9524535323745877,0.9950995879470096,123406,123406,791007
3546000,0.031646586345381526,0.8565121412803532,0.031164658634538153,0.10834417394536332,24.54209621993127,21.0,18.352994860461617,signatures/7b2e6c817a0634c4bc2e68ca6d223d8f.sig.gz,"GCA_003331695.1 Pseudomonas sp., ASM333169v1",7b2e6c817a0634c4bc2e68ca6d223d8f,0.869757174392936,3492000,1,102576000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002474/SRR20002474_unmatched_2.fastq,SRR20002474,5696dc482f736f106304c6edcd5ec4f4,112050000,31,DNA,1000,112050,true,0.8945887810617258,0.9955087862456454,0.9450487836536856,0.9955087862456454,85701,209107,791007
1490000,0.013297634984381973,0.3420629450953365,0.013288710397144132,0.022238741250077434,11.813969106783077,10.0,9.620169566417268,signatures/f9f1049741b44f56fdab607d19ee11af.sig.gz,"GCF_001447195.1 Aquabacterium parvum strain=B6, ASM144719v1",f9f1049741b44f56fdab607d19ee11af,0.3422926717206524,1489000,2,101087000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002474/SRR20002474_unmatched_2.fastq,SRR20002474,5696dc482f736f106304c6edcd5ec4f4,112050000,31,DNA,1000,112050,true,0.8699145479430762,0.9660076546531361,0.9179611012981062,0.9660076546531361,17591,226698,791007
1135000,0.010129406514948683,0.1326219512195122,0.010093708165997323,0.01497837566544923,10.475685234305924,8.0,8.216676737480983,signatures/ad7114bd75e568ad37fbc58a859476e9.sig.gz,"GCF_009455635.1 Paraburkholderia agricolaris strain=BaQS159, ASM945563v1",ad7114bd75e568ad37fbc58a859476e9,0.13309099437148217,1131000,3,99956000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002474/SRR20002474_unmatched_2.fastq,SRR20002474,5696dc482f736f106304c6edcd5ec4f4,112050000,31,DNA,1000,112050,true,0.8623111466187522,0.9370154056932076,0.89966327615598,0.9370154056932076,11848,238546,791007
1069000,0.009540383757251227,0.3700242298373139,0.009540383757251227,0.013185724020141414,9.756782039289055,8.0,8.15316218591054,signatures/d5d16048de2cea978d0e12628e26132d.sig.gz,"GCF_017167825.1 Kocuria palustris strain=F5_7S_P11C, ASM1716782v1",d5d16048de2cea978d0e12628e26132d,0.3700242298373139,1069000,4,98887000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002474/SRR20002474_unmatched_2.fastq,SRR20002474,5696dc482f736f106304c6edcd5ec4f4,112050000,31,DNA,1000,112050,true,0.860646297297304,0.9684382644898929,0.9145422808935985,0.9684382644898929,10430,248976,791007
1055000,0.009415439535921463,0.41693037974683544,0.009406514948683624,0.01352958949794376,10.153700189753321,9.0,7.646302362516946,signatures/db243dcabc4ffc2cb8e5d794ccda9edb.sig.gz,"GCF_003384705.1 Cutibacterium acnes strain=T36318, ASM338470v1",db243dcabc4ffc2cb8e5d794ccda9edb,0.4173259493670886,1054000,5,97833000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002474/SRR20002474_unmatched_2.fastq,SRR20002474,5696dc482f736f106304c6edcd5ec4f4,112050000,31,DNA,1000,112050,true,0.8602803820723873,0.9722037023998573,0.9162420422361224,0.9722037023998573,10702,259678,791007
1043000,0.00930834448906738,0.1248792270531401,0.009228023203926818,0.011985987481779554,9.169245647969053,8.0,7.315452367291422,signatures/783595459cf65f830f55d50d49021ca2.sig.gz,"GCF_016092185.1 Burkholderia contaminans strain=407H, ASM1609218v1",783595459cf65f830f55d50d49021ca2,0.12596618357487924,1034000,6,96799000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002474/SRR20002474_unmatched_2.fastq,SRR20002474,5696dc482f736f106304c6edcd5ec4f4,112050000,31,DNA,1000,112050,true,0.8599629807802531,0.9353538422273188,0.897658411503786,0.9353538422273188,9481,269159,791007
908000,0.008103525211958947,0.23741765480895916,0.008041053101294065,0.0098064871739441,8.609322974472809,6.0,7.311408512468582,signatures/29a6e3248d3388f25d825fba25860f8c.sig.gz,"GCF_001293905.1 Brachybacterium sp. SW0106-09 strain=SW0106-09, ASM129390v1",29a6e3248d3388f25d825fba25860f8c,0.23926218708827404,901000,7,95898000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002474/SRR20002474_unmatched_2.fastq,SRR20002474,5696dc482f736f106304c6edcd5ec4f4,112050000,31,DNA,1000,112050,true,0.8561263628625595,0.9549127226048646,0.905519542733712,0.9549127226048646,7757,276916,791007
856000,0.007639446675591254,0.23432155074116306,0.0073360107095046855,0.009199665742528194,8.85279805352798,7.0,7.122425138915881,signatures/c44b75973c713ebb144867cb9d12ca08.sig.gz,"GCA_003241005.1 Brachybacterium faecium, ASM324100v1",c44b75973c713ebb144867cb9d12ca08,0.24401368301026224,822000,8,95076000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002474/SRR20002474_unmatched_2.fastq,SRR20002474,5696dc482f736f106304c6edcd5ec4f4,112050000,31,DNA,1000,112050,true,0.8544992272603953,0.9555186477509645,0.9050089375056799,0.9555186477509645,7277,284193,791007
580000,0.005176260597947345,0.1564476216662084,0.005078090138331102,0.005787559402129184,8.045694200351495,6.0,6.497101144961299,signatures/f6cc4390f4e613ee9ac490fe11609969.sig.gz,"GCF_900199565.1 Acinetobacter johnsonii, AJ01M",f6cc4390f4e613ee9ac490fe11609969,0.15947209238383284,569000,9,94507000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/AD_Skin/preproc/SRR20002474/SRR20002474_unmatched_2.fastq,SRR20002474,5696dc482f736f106304c6edcd5ec4f4,112050000,31,DNA,1000,112050,true,0.8438370404308833,0.9424973794891869,0.8931672099600351,0.9424973794891869,4578,288771,791007
