#Classification	S-19-POLJUN-B_bracken_O.kreport
k__Bacteria	3336
k__Bacteria|p__Proteobacteria	1597
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	725
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	725
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	635
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	634
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	236
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	233
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	1
k__Bacteria|p__Acidobacteria	1059
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	1059
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	1059
k__Bacteria|p__Cyanobacteria	675
k__Bacteria|p__Cyanobacteria|o__Nostocales	675
k__Bacteria|p__Actinobacteria	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	1
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1
k__Eukaryota	52
k__Eukaryota|k__Metazoa	51
k__Eukaryota|k__Metazoa|p__Chordata	51
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	51
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	51
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Basidiomycota	1
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	1
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales	1
