#Classification	S-9-DICUND-G_bracken_O.kreport
k__Bacteria	397
k__Bacteria|p__Proteobacteria	216
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	192
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	192
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	23
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	23
k__Bacteria|p__Cyanobacteria	162
k__Bacteria|p__Cyanobacteria|o__Nostocales	162
k__Bacteria|p__Actinobacteria	14
k__Bacteria|p__Actinobacteria|c__Actinomycetia	14
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	13
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	1
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1
k__Bacteria|p__Acidobacteria	3
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	3
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	3
k__Eukaryota	1
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	1
