#Classification	S-5-DICUND-G_bracken_G.kreport
k__Bacteria	368
k__Bacteria|p__Proteobacteria	221
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	218
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	218
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	218
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	218
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	3
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	3
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia	3
k__Bacteria|p__Actinobacteria	81
k__Bacteria|p__Actinobacteria|c__Actinomycetia	81
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	81
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	81
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptacidiphilus	81
k__Bacteria|p__Cyanobacteria	61
k__Bacteria|p__Cyanobacteria|o__Nostocales	61
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	61
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae|g__Nostoc	61
k__Bacteria|p__Acidobacteria	3
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	3
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	3
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	3
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidisarcina	3
