intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,match_filename,match_name,match_md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
4555000,0.02916954840031763,0.7016327788046827,0.02916954840031763,0.09576586664225444,61.54862788144896,55.0,67.94104756977983,signatures/514bdd6aa640f40cc6414be0e11ec2f6.sig.gz,"GCF_001314995.1 Bacteroides ovatus strain=ATCC 8483, ASM131499v1",514bdd6aa640f40cc6414be0e11ec2f6,0.7016327788046827,4555000,0,151601000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.8922398237481028,0.9886345921161377,0.9404372079321203,0.9886345921161377,280354,280354,2927494
4306000,0.027574989113450653,0.7800362976406534,0.027523758292989062,0.286650971786791,195.24639367147512,192.0,82.29478908271147,signatures/f906f0ea3324bc6db880a742f3f0b0ba.sig.gz,"GCF_013009555.1 Bacteroides dorei strain=DSM 17855, ASM1300955v1",f906f0ea3324bc6db880a742f3f0b0ba,0.7814882032667877,4298000,1,147303000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.8906232811712073,0.9920781502267554,0.9413507156989813,0.9920781502267554,839169,1119523,2927494
3651000,0.023380465688157995,0.5625396825396826,0.022695253464484234,0.05542829464381481,45.786117381489845,38.0,81.5987019468898,signatures/df098e390010d8add7b59e4ff0574d30.sig.gz,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",df098e390010d8add7b59e4ff0574d30,0.5795238095238096,3544000,2,143759000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.8858952231137536,0.9825556066895633,0.9342254149016584,0.9825556066895633,162266,1281789,2927494
3393000,0.021728271728271728,0.6908979841172878,0.021728271728271728,0.012691742493750628,10.950486295313882,11.0,8.953817418255174,signatures/60bfe150353edefcbd7db7314951359d.sig.gz,"GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 strain=ATCC 11775, ASM369716v2",60bfe150353edefcbd7db7314951359d,0.6908979841172878,3393000,3,140366000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.8838033656613495,0.9881430127367304,0.9359731891990399,0.9881430127367304,37155,1318944,2927494
3239000,0.02074207843438613,0.7254182901673161,0.020268193345116422,0.009194553430340079,8.504581358609794,6.0,30.230683300554404,signatures/a8c995daf67b413b45a7f31c15f510d6.sig.gz,GCF_025151215.1 Parabacteroides merdae ATCC 43184 strain=ATCC 43184 ASM2515121v1,a8c995daf67b413b45a7f31c15f510d6,0.7423790969516387,3165000,4,137201000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.88248008214346,0.9904364996170999,0.9364582908802799,0.9904364996170999,26917,1345861,2927494
3042000,0.01948051948051948,0.6457507705856451,0.018782499551730322,0.020739581362079648,20.700647800886465,19.0,21.823605276831664,signatures/2fc80b3803e2d9af5d93edb14dd1cc3b.sig.gz,GCF_025147485.1 Bacteroides uniformis strain=ATCC 8492 ASM2514748v1,2fc80b3803e2d9af5d93edb14dd1cc3b,0.6697490092470277,2933000,5,134268000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.8806955940833259,0.987152524812029,0.9339240594476774,0.987152524812029,60715,1406576,2927494
4343000,0.027811931658085504,0.5060869565217392,0.01863521094290325,0.045390699348999516,45.66357388316151,42.0,24.357670164004276,signatures/c08f8e47dd318b08d89c36c36e6da9e1.sig.gz,"GCF_000210075.1 Bacteroides xylanisolvens XB1A strain=XB1A, ASM21007v1",c08f8e47dd318b08d89c36c36e6da9e1,0.7553043478260869,2910000,6,131358000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.890869125817601,0.9909881267070446,0.9409286262623229,0.9909881267070446,132881,1539457,2927494
2881000,0.018449499218729987,0.6997084548104956,0.01844309536617229,0.004445440366402117,4.51875,3.0,10.801443246866505,signatures/06f53d8a347ef84d19961ba77261cd81.sig.gz,GCA_003471165.1 Ruminococcus sp. AM22-13 strain=AM22-13 ASM347116v1,06f53d8a347ef84d19961ba77261cd81,0.6999514091350826,2880000,7,128478000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.879152101955414,0.9885580797688006,0.9338550908621073,0.9885580797688006,13014,1552471,2927494
2835000,0.018154922001075848,0.7756622516556292,0.018001229539691077,0.006462182330689662,6.729989327641409,6.0,4.3242822818974895,signatures/4f9f7653a293be189ac633bff28f9766.sig.gz,"GCF_008121495.1 [Ruminococcus] gnavus ATCC 29149 strain=JCM6515, ASM812149v1",4f9f7653a293be189ac633bff28f9766,0.7822847682119205,2811000,8,125667000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.878695755619621,0.9921107540738874,0.9354032548467541,0.9921107540738874,18918,1571389,2927494
2966000,0.018993826686134377,0.6253079507278836,0.017879556341094803,0.0432438119429109,45.34240687679083,36.0,76.52976334277737,signatures/a65db27ac6f6490cca7eeb016c93eea7.sig.gz,"GCF_000382445.1 Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain=DSM 17679, Bact_mass_DSM_17679_V1",a65db27ac6f6490cca7eeb016c93eea7,0.6642777155655095,2792000,9,122875000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.8799770990911118,0.986891354963125,0.9334342270271183,0.986891354963125,126596,1697985,2927494
2511000,0.016080073772381465,0.6551451187335092,0.0159007659007659,0.0032208434927620687,3.797422472815143,3.0,4.168380270714645,signatures/c9a0061349d9819245d2d27bd33b6fa3.sig.gz,"GCF_013282095.1 Clostridium sp. C5-48 strain=C5-48, ASM1328209v1",c9a0061349d9819245d2d27bd33b6fa3,0.662532981530343,2483000,10,120392000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.8752625039153623,0.9868076329343997,0.9310350684248809,0.9868076329343997,9429,1707414,2927494
2479000,0.015875150490535107,0.5017435897435898,0.01566382335613105,0.0022900132331611952,2.740801308258381,2.0,21.459403457258308,signatures/5feebdfe795727335c87e462e7a7cc14.sig.gz,"GCF_000012845.1 Parabacteroides distasonis ATCC 8503 strain=ATCC 8503, ASM1284v1",5feebdfe795727335c87e462e7a7cc14,0.5085128205128205,2446000,11,117946000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.8749004508964232,0.9784212309260748,0.926660840911249,0.9784212309260748,6704,1714118,2927494
2389000,0.015298803760342221,0.6590265987549518,0.014914572606880299,0.0050456123906658734,6.342206955775011,6.0,4.384496920823498,signatures/204af89ac36dfdd7c4fcad734dffd0d2.sig.gz,"GCF_900104635.1 Coprococcus phoceensis strain=Marseille-P3062, PRJEB16356",204af89ac36dfdd7c4fcad734dffd0d2,0.6760045274476514,2329000,12,115617000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.8738573907338744,0.9874486112911308,0.9306530010125026,0.9874486112911308,14771,1728889,2927494
2088000,0.01337124414047491,0.5709902370990237,0.013108686185609262,0.0024478273909357287,3.500732779677577,3.0,3.2797992316477504,signatures/b2cb449359263424b624c31f539ed929.sig.gz,"GCF_003478035.1 Clostridium sp. OF03-18AA strain=OF03-18AA, ASM347803v1",b2cb449359263424b624c31f539ed929,0.5824267782426779,2047000,13,113570000,/nfs3_ib/nfs-ip34/home/def-ilafores/analysis/MethodsComparison/Feces_RA/preproc/SRR5091587/SRR5091587_unmatched_2.fastq,SRR5091587,4d86f47db255a2ce92b331566f050d81,156156000,31,DNA,1000,156156,true,0.8700694694606952,0.9827139924160654,0.9263917309383802,0.9827139924160654,7166,1736055,2927494
