#Classification	S-3-POLCOM-B_bracken_O.kreport
k__Bacteria	3317
k__Bacteria|p__Proteobacteria	3116
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3037
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	3037
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	55
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	55
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	24
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	24
k__Bacteria|p__Acidobacteria	119
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	119
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	119
k__Bacteria|p__Actinobacteria	76
k__Bacteria|p__Actinobacteria|c__Actinomycetia	76
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	40
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	34
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	1
k__Bacteria|p__Bacteroidetes	5
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	3
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	3
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	1
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1
k__Eukaryota	15
k__Eukaryota|k__Metazoa	10
k__Eukaryota|k__Metazoa|p__Chordata	10
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	10
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	10
k__Eukaryota|k__Fungi	3
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	3
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	1
